launch_service_provider,mission,name,net,pad,rocket,status
Firefly Aerospace,FLTA001 (Maiden Flight),Firefly Alpha | FLTA001 (Maiden Flight),09/03/2021 1:59 a.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Firefly Alpha,Launch Failure
Firefly Aerospace,FLTA002 (To The Black),Firefly Alpha | FLTA002 (To The Black),10/01/2022 7:01 a.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Firefly Alpha,Launch Successful
Firefly Aerospace,FLTA003 (VICTUS NOX),Firefly Alpha | FLTA003 (VICTUS NOX),09/15/2023 2:28 a.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Firefly Alpha,Launch Successful
