launch_service_provider,mission,name,net,pad,rocket,status
Martin Marietta,Skynet 4A & JCSat 2,Commercial Titan III | Skynet 4A & JCSat 2,01/01/1990 12:07 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Commercial Titan III,Launch Successful
Martin Marietta,Intelsat 603,Commercial Titan III | Intelsat 603,03/14/1990 11:52 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Commercial Titan III,Launch Successful
Martin Marietta,Intelsat 604,Commercial Titan III | Intelsat 604,06/23/1990 11:19 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Commercial Titan III,Launch Successful
Martin Marietta,Mars Observer,Commercial Titan III | Mars Observer,09/25/1992 5:05 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Commercial Titan III,Launch Successful
