launch_service_provider,mission,name,net,pad,rocket,status
Korea Aerospace Research Institute,STSat-2A,Naro-1 | STSat-2A,08/25/2009 8 a.m.,"LC-1 | Naro Space Center, South Korea",Naro-1,Launch Failure
Korea Aerospace Research Institute,—,Naro-1 | STSAT-2B,06/10/2010 8:01 a.m.,"LC-1 | Naro Space Center, South Korea",Naro-1,Launch Failure
Korea Aerospace Research Institute,—,Naro-1 | STSAT-2C,01/30/2013 7 a.m.,"LC-1 | Naro Space Center, South Korea",Naro-1,Launch Successful
Korea Aerospace Research Institute,Flight Test,Nuri | Flight Test,10/21/2021 8 a.m.,"LC-2 | Naro Space Center, South Korea",Nuri,Launch Failure
Korea Aerospace Research Institute,Flight Test 2,Nuri | Flight Test 2,06/21/2022 7 a.m.,"LC-2 | Naro Space Center, South Korea",Nuri,Launch Successful
Korea Aerospace Research Institute,NEXTSat-2 & SNIPE,Nuri | NEXTSat-2 & SNIPE,05/25/2023 9:24 a.m.,"LC-2 | Naro Space Center, South Korea",Nuri,Launch Successful
