launch_service_provider,mission,name,net,pad,rocket,status
EXOS Aerospace,Pathfinder,"SARGE | Launch 1 - ""Pathfinder""",08/25/2018 6:15 p.m.,"Vertical Launch Area | Spaceport America, NM, USA",SARGE,Launch was a Partial Failure
EXOS Aerospace,Mission 1,"SARGE | Launch 2 - ""Mission 1""",03/02/2019 4:45 p.m.,"Vertical Launch Area | Spaceport America, NM, USA",SARGE,Launch was a Partial Failure
EXOS Aerospace,SARGE Launch 3,SARGE | Launch 3,06/29/2019 6 p.m.,"Vertical Launch Area | Spaceport America, NM, USA",SARGE,Launch was a Partial Failure
EXOS Aerospace,SARGE Launch 4,SARGE | Launch 4,10/26/2019 5:40 p.m.,"Vertical Launch Area | Spaceport America, NM, USA",SARGE,Launch Failure
