launch_service_provider,mission,name,net,pad,rocket,status
Progress Rocket Space Center,US-K 78,Molniya-M | US-K 78,05/14/1997 12:33 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-1T 90,Molniya-M | Molniya-1T 90,09/24/1997 9:30 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 79,Molniya-M | US-K 79,05/07/1998 8:53 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3 61L,Molniya-M | Molniya-3 61L,07/01/1998 12:48 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-1T 91,Molniya-M | Molniya-1T 91,09/28/1998 11:41 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3 63L,Molniya-M | Molniya-3 63L,07/08/1999 8:45 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 80,Molniya-M | US-K 80,12/27/1999 7:12 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3,Molniya-M | Molniya-3,07/20/2001 12:17 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3 64L,Molniya-M | Molniya-3 64L,10/25/2001 11:34 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 81,Molniya-M | US-K 81,04/01/2002 10:06 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 82,Molniya-M | US-K 82,12/24/2002 12:20 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-1T 92,Molniya-M | Molniya-1T 92,04/02/2003 1:53 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3 65L,Molniya-M | Molniya-3 65L,06/19/2003 8 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-1T 93,Molniya-M | Molniya-1T 93,02/18/2004 7:05 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3K,Molniya-M | Molniya-3K,06/21/2005 12:48 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Failure
Progress Rocket Space Center,US-K 83,Molniya-M | US-K 83,07/21/2006 4:20 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 84,Molniya-M | US-K 84,10/23/2007 4:39 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 85,Molniya-M | US-K 85,12/02/2008 4:59 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
