launch_service_provider,mission,name,net,pad,rocket,status
Mitsubishi Heavy Industries,Telstar 12 VANTAGE,H-IIA 204 | Telstar 12 VANTAGE,11/24/2015 6:50 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA,Launch Successful
Mitsubishi Heavy Industries,Astro-H (Hitomi),H-IIA 202 | Astro-H (Hitomi),02/17/2016 8:45 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Himawari-9,H-IIA 202 | Himawari-9,11/02/2016 6:20 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Kounotori 6 (HTV-6),H-IIB 304 | Kounotori 6 (HTV-6),12/09/2016 1:26 p.m.,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H-IIB,Launch Successful
Mitsubishi Heavy Industries,DSN 2 (Kirameki 2),H-IIA 204 | DSN 2 (Kirameki 2),01/24/2017 7:44 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA,Launch Successful
Mitsubishi Heavy Industries,IGS Radar 5,H-IIA 202 | IGS Radar 5,03/17/2017 1:20 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Michibiki 2 (QZS-2),H-IIA 202 | Michibiki 2 (QZS-2),06/01/2017 12:17 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Michibiki 3 (QZS-3),H-IIA 204 | Michibiki 3 (QZS-3),08/19/2017 5:29 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA,Launch Successful
Mitsubishi Heavy Industries,Michibiki 4 (QZS-4),H-IIA 202 | Michibiki 4 (QZS-4),10/09/2017 10:01 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,GCOM-C1 & SLATS,H-IIA 202 | GCOM-C1 & SLATS,12/23/2017 1:26 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,IGS Radar 6,H-IIA 202 | IGS Radar 6,06/12/2018 4:20 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Kounotori 7 (HTV-7),H-IIB 304 | Kounotori 7 (HTV-7),09/22/2018 5:52 p.m.,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H-IIB,Launch Successful
Mitsubishi Heavy Industries,KhalifaSat & GOSAT-2,H-IIA 202 | KhalifaSat & GOSAT-2,10/29/2018 4:08 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Kounotori 8 (HTV-8),H-IIB 304 | Kounotori 8 (HTV-8),09/24/2019 4:05 p.m.,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H-IIB,Launch Successful
Mitsubishi Heavy Industries,IGS Optical 7,H-IIA 202 | IGS Optical 7,02/09/2020 1:34 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Kounotori 9 (HTV-9),H-IIB 304 | Kounotori 9 (HTV-9),05/20/2020 5:31 p.m.,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H-IIB,Launch Successful
Mitsubishi Heavy Industries,Hope (Emirates Mars Mission),H-IIA 202 | Hope (Emirates Mars Mission),07/19/2020 9:58 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,JDRS-1,H-IIA 202 | JDRS-1,11/29/2020 7:25 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,QZS-1R,H-IIA 202 | QZS-1R,10/26/2021 2:19 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Inmarsat-6 F1,H-IIA 204 | Inmarsat-6 F1,12/22/2021 3:32 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA,Launch Successful
Mitsubishi Heavy Industries,IGS Radar 7,H-IIA 202 | IGS Radar 7,01/26/2023 1:50 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,ALOS-3 (Maiden flight),H3-22 | ALOS-3 (Maiden flight),03/07/2023 1:37 a.m.,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H3-22,Launch Failure
Mitsubishi Heavy Industries,IGS Optical 8,H-IIA 202 | IGS Optical 8,01/11/2024 4 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Go for Launch
Mitsubishi Heavy Industries,H3 Test Flight 2,H3-22 | H3 Test Flight 2,03/31/2024 midnight,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H3-22,To Be Determined
Mitsubishi Heavy Industries,IGS Radar 8,H-IIA 202 | IGS Radar 8,04/30/2024 midnight,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,To Be Determined
