launch_service_provider,mission,name,net,pad,rocket,status
Orbital ATK,Cygnus CRS OA-5 (S.S. Alan Poindexter),Antares 230 | Cygnus CRS OA-5 (S.S. Alan Poindexter),10/17/2016 11:45 p.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230,Launch Successful
Orbital ATK,8 x CYGNSS,Pegasus XL | 8 x CYGNSS,12/15/2016 1:37 p.m.,Cape Canaveral | Air launch to orbit,Pegasus XL,Launch Successful
Orbital ATK,ORS-5,Minotaur IV | ORS-5,08/26/2017 6:04 a.m.,"Space Launch Complex 46 | Cape Canaveral, FL, USA",Minotaur IV,Launch Successful
Orbital ATK,Dedicated rideshare,Minotaur-C (Taurus XL) | 6 x SkySat & 4 x Dove,10/31/2017 9:37 p.m.,"Space Launch Complex 576E | Vandenberg SFB, CA, USA",Minotaur,Launch Successful
Orbital ATK,Cygnus CRS OA-8 (S.S. Gene Cernan),Antares 230 | Cygnus CRS OA-8 (S.S. Gene Cernan),11/12/2017 12:19 p.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230,Launch Successful
Orbital ATK,Cygnus CRS OA-9 (S.S. J.R. Thompson),Antares 230 | Cygnus CRS OA-9 (S.S. J.R. Thompson),05/21/2018 8:44 a.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230,Launch Successful
