launch_service_provider,mission,name,net,pad,rocket,status
United States Air Force,KH-4A 15,Thor SLV-2A Agena D | KH-4A 15,12/19/1964 9:10 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Explorer 26,Thor Delta C | Explorer 26,12/21/1964 9 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Delta C,Launch Successful
United States Air Force,Quill 1,Thor SLV-2A Agena D | Quill 1,12/21/1964 7:08 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,KH-4A 16,Thor SLV-2A Agena D | KH-4A 16,01/15/1965 9 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,DSAP-1 F10,Thor MG-18 | DSAP-1 F10,01/19/1965 5:03 a.m.,"Space Launch Complex 10W | Vandenberg SFB, CA, USA",Thor MG-18,Launch Successful
United States Air Force,Gemini II,Titan II GLV | Gemini II,01/19/1965 2:04 p.m.,"Launch Complex 19 | Cape Canaveral, FL, USA",Titan II,Launch Successful
United States Air Force,OV1-1,Atlas D | OV1-1,01/21/1965 9:34 p.m.,"576B3 | Vandenberg SFB, CA, USA",Atlas D,Launch Failure
United States Air Force,Tiros 9,Thor Delta C | Tiros 9,01/22/1965 7:52 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Delta C,Launch Failure
United States Air Force,KH-7 15,Atlas SLV-3 Agena D | KH-7 15,01/23/1965 8:06 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,OSO 2,Thor Delta C | OSO 2,02/03/1965 4:36 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Thor Delta C,Launch Successful
United States Air Force,LES 1,Titan IIIA | LES 1,02/11/1965 3:19 p.m.,"Space Launch Complex 20 | Cape Canaveral, FL, USA",Titan IIIA,Launch Successful
United States Air Force,Ranger 8,Atlas Agena B | Ranger 8,02/17/1965 5:05 p.m.,"Launch Complex 12 | Cape Canaveral, FL, USA",Atlas Agena B,Launch Successful
United States Air Force,KH-4A 17,Thor SLV-2A Agena D | KH-4A 17,02/25/1965 9:44 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Surveyor-SD 1,Atlas Centaur | Surveyor-SD 1,03/02/1965 1:25 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA",Atlas Centaur,Launch Failure
United States Air Force,"Poppy 6A,B,C,D","Thor SLV-2 Agena D | Poppy 6A,B,C,D",03/09/1965 6:29 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Thor SLV-2 Agena D,Launch Successful
United States Air Force,Transit-O 3,Thor DM-21 Ablestar | Transit-O 3,03/11/1965 1:39 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA",Thor DM-21 Ablestar,Launch Successful
United States Air Force,KH-7 16,Atlas SLV-3 Agena D | KH-7 16,03/12/1965 7:20 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,DSAP-1 F11,Thor MG-18 | DSAP-1 F11,03/18/1965 4:43 a.m.,"Space Launch Complex 10W | Vandenberg SFB, CA, USA",Thor MG-18,Launch Successful
United States Air Force,Ranger 9,Atlas Agena B | Ranger 9,03/21/1965 9:37 p.m.,"Launch Complex 12 | Cape Canaveral, FL, USA",Atlas Agena B,Launch Successful
United States Air Force,KH-4A 18,Thor SLV-2A Agena D | KH-4A 18,03/25/1965 9:11 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,OAR 22-4,Blue Scout Jr | OAR 22-4,03/30/1965 4:09 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Blue Scout Jr,Launch Successful
United States Air Force,SNAPSHOT-1,Atlas SLV-3 Agena D | SNAPSHOT-1,04/03/1965 9:25 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,Early Bird,Thor Delta D | Early Bird,04/06/1965 11:47 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Delta D,Launch Successful
United States Air Force,OAR 22-9,Blue Scout Jr | OAR 22-9,04/09/1965 6:10 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Blue Scout Jr,Launch Successful
United States Air Force,KH-7 17,Atlas SLV-3 Agena D | KH-7 17,04/28/1965 9:15 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,KH-4A 19,Thor SLV-2A Agena D | KH-4A 19,04/29/1965 9:44 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,LES 2,Titan IIIA | LES 2,05/06/1965 3 p.m.,"Space Launch Complex 20 | Cape Canaveral, FL, USA",Titan IIIA,Launch Successful
United States Air Force,OAR 22-8,Blue Scout Jr | OAR 22-8,05/12/1965 4:02 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Blue Scout Jr,Launch Successful
United States Air Force,KH-4A 20,Thor SLV-2A Agena D | KH-4A 20,05/18/1965 6:02 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,OPS 8386,Thor Burner 1 | OPS 8386,05/20/1965 4:30 p.m.,"Space Launch Complex 10W | Vandenberg SFB, CA, USA",Thor Burner 1,Launch Successful
United States Air Force,FIRE 2,Atlas D | FIRE 2,05/22/1965 9:55 p.m.,"Launch Complex 12 | Cape Canaveral, FL, USA",Atlas D,Launch Successful
United States Air Force,KH-7 18,Atlas SLV-3 Agena D | KH-7 18,05/27/1965 8:48 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,OV1-3,Atlas D | OV1-3,05/28/1965 2:54 a.m.,"576B3 | Vandenberg SFB, CA, USA",Atlas D,Launch Failure
United States Air Force,Explorer 28,Thor Delta C | Explorer 28,05/29/1965 noon,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Thor Delta C,Launch Successful
United States Air Force,OAR 22-5,Blue Scout Jr | OAR 22-5,06/09/1965 4:26 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Blue Scout Jr,Launch Successful
United States Air Force,KH-4A 21,Thor SLV-2A Agena D | KH-4A 21,06/09/1965 9:58 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Transtage 5,Titan IIIC | Transtage 5,06/18/1965 2 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Titan IIIC,Launch Successful
United States Air Force,Transit-O 4,Thor DM-21 Ablestar | Transit-O 4,06/24/1965 10:35 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA",Thor DM-21 Ablestar,Launch Successful
United States Air Force,KH-7 19,Atlas SLV-3 Agena D | KH-7 19,06/25/1965 7:30 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,Flight 138,X-15 | Flight 138,06/29/1965 6:21 p.m.,Edwards Air Force Base | Air launch to Suborbital flight,North American X-15,Launch Successful
United States Air Force,Tiros 10,Thor Delta C | Tiros 10,07/02/1965 4:07 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Thor Delta C,Launch Successful
United States Air Force,KH-7 20,Atlas SLV-3 Agena D | KH-7 20,07/12/1965 7 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Failure
United States Air Force,P-770 Group 3-A 1,Thor SLV-2A Agena D | P-770 Group 3-A 1,07/17/1965 5:55 a.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,KH-4A 22,Thor SLV-2A Agena D | KH-4A 22,07/19/1965 10:01 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Vela 3A & 3B,Atlas Agena D | Vela 3A & 3B,07/20/1965 8:27 a.m.,"Space Launch Complex 13 | Cape Canaveral, FL, USA",Atlas Agena D,Launch Successful
United States Air Force,KH-7 21,Atlas SLV-3 Agena D | KH-7 21,08/03/1965 7:06 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,Flight 143,X-15 | Flight 143,08/10/1965 7:24 p.m.,Edwards Air Force Base | Air launch to Suborbital flight,North American X-15,Launch Successful
United States Air Force,Surveyor-SD 2,Atlas Centaur D | Surveyor-SD 2,08/11/1965 2:31 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas Centaur D,Launch Successful
United States Air Force,Transit-O 5,Thor DM-21 Ablestar | Transit-O 5,08/13/1965 10:11 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA",Thor DM-21 Ablestar,Launch Successful
United States Air Force,KH-4A 23,Thor SLV-2A Agena D | KH-4A 23,08/17/1965 8:59 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
