launch_service_provider,mission,name,net,pad,rocket,status
Interstellar Technologies,1st Test Flight,MOMO | 1st Test Flight,07/30/2017 7:30 a.m.,"Launch Complex 0 | Hokkaido Spaceport, Japan",MOMO v0,Launch Failure
Interstellar Technologies,Launch 2,MOMO | Launch 2,06/29/2018 8:30 p.m.,"Launch Complex 0 | Hokkaido Spaceport, Japan",MOMO v0,Launch Failure
Interstellar Technologies,Flight 3,MOMO | Flight 3,05/04/2019 8:45 p.m.,"Launch Complex 0 | Hokkaido Spaceport, Japan",MOMO v0,Launch Successful
Interstellar Technologies,Flight 4,MOMO | Flight 4,07/27/2019 7:20 a.m.,"Launch Complex 0 | Hokkaido Spaceport, Japan",MOMO v0,Launch Failure
Interstellar Technologies,Flight 5,MOMO | Flight 5,06/13/2020 8:15 p.m.,"Launch Complex 0 | Hokkaido Spaceport, Japan",MOMO v0,Launch Failure
Interstellar Technologies,Flight 7,MOMO | Flight 7,07/03/2021 8:45 a.m.,"Launch Complex 0 | Hokkaido Spaceport, Japan",MOMO v1,Launch Successful
Interstellar Technologies,Flight 6,MOMO | Flight 6,07/31/2021 8 a.m.,"Launch Complex 0 | Hokkaido Spaceport, Japan",MOMO v1,Launch Successful
Interstellar Technologies,Maiden Flight,ZERO | Maiden Flight,12/31/2025 midnight,"Launch Complex 1 | Hokkaido Spaceport, Japan",ZERO,To Be Determined
