launch_service_provider,mission,name,net,pad,rocket,status
Equatorial Launch Australia,XQC,Black Brant IX | XQC,06/26/2022 2:30 p.m.,Suborbital Launch Ramp | Arnhem Space Centre,Black Brant IX,Launch Successful
Equatorial Launch Australia,SISTINE,Black Brant IX | SISTINE,07/06/2022 1:54 p.m.,Suborbital Launch Ramp | Arnhem Space Centre,Black Brant IX,Launch Successful
Equatorial Launch Australia,DEUCE,Black Brant IX | DEUCE,07/11/2022 11:01 a.m.,Suborbital Launch Ramp | Arnhem Space Centre,Black Brant IX,Launch Successful
