launch_service_provider,mission,name,net,pad,rocket,status
Indian Space Research Organization,Cartosat-2D & 103 others,PSLV XL | Cartosat-2D & 103 others,02/15/2017 3:58 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,SouthAsiaSat (GSAT-9),GSLV Mk II | SouthAsiaSat (GSAT-9),05/05/2017 11:27 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV Mk II,Launch Successful
Indian Space Research Organization,GSAT-19,LVM-3 | GSAT-19,06/05/2017 11:58 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",LVM-3 (GSLV Mk III),Launch Successful
Indian Space Research Organization,Cartosat-2E,PSLV XL | Cartosat-2E,06/23/2017 3:59 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,IRNSS-1H,PSLV XL | IRNSS-1H,08/31/2017 1:30 p.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Failure
Indian Space Research Organization,Cartosat-2F (Cartosat-2S4),PSLV XL | Cartosat-2F (Cartosat-2S4),01/12/2018 3:59 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,GSAT-6A,GSLV Mk II | GSAT-6A,03/29/2018 11:26 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV Mk II,Launch Successful
Indian Space Research Organization,IRNSS-1I,PSLV XL | IRNSS-1I,04/11/2018 10:34 p.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,SSTL-S1 & NovaSAR-S,PSLV-CA | SSTL-S1 & NovaSAR-S,09/16/2018 4:38 p.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,GSAT-29,LVM-3 | GSAT-29,11/14/2018 11:38 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",LVM-3 (GSLV Mk III),Launch Successful
Indian Space Research Organization,HysIS,PSLV-CA | HysIS,11/29/2018 4:27 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,GSAT-7A,GSLV Mk II | GSAT-7A,12/19/2018 10:40 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV Mk II,Launch Successful
Indian Space Research Organization,Microsat-R,PSLV-DL | Microsat-R,01/24/2019 6:07 p.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-DL,Launch Successful
Indian Space Research Organization,EMISAT & 28 others,PSLV-QL | EMISAT & 28 others,04/01/2019 3:57 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",PSLV-QL,Launch Successful
Indian Space Research Organization,RISAT-2B,PSLV-CA | RISAT-2B,05/22/2019 midnight,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,Chandrayaan-2,LVM-3 | Chandrayaan-2,07/22/2019 9:13 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",LVM-3 (GSLV Mk III),Launch Successful
Indian Space Research Organization,Cartosat-3 & others,PSLV-XL | Cartosat-3 & others,11/27/2019 3:58 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,RISAT-2BR1 & others,PSLV-QL | RISAT-2BR1 & others,12/11/2019 9:55 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-QL,Launch Successful
Indian Space Research Organization,EOS-01 (RISAT-2BR2),PSLV-DL | EOS-01 (RISAT-2BR2),11/07/2020 9:41 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-DL,Launch Successful
Indian Space Research Organization,CMS-01 (GSAT-12R),PSLV-XL | CMS-01 (GSAT-12R),12/17/2020 10:11 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,Amazonia & 18 others,PSLV-DL | Amazonia 1 & 18 others,02/28/2021 4:54 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-DL,Launch Successful
Indian Space Research Organization,GISAT-1,GSLV Mk II | EOS-03 (GISAT-1),08/12/2021 12:13 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV Mk II,Launch Failure
Indian Space Research Organization,EOS-4 (RISAT-1A),PSLV-XL | EOS-4 (RISAT-1A),02/14/2022 12:29 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,DS-EO & others,PSLV-CA | DS-EO & others,06/30/2022 12:32 p.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,SSLV Demo 1,SSLV | EOS-02 (Microsat-2A) (Demo 1),08/07/2022 3:48 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",SSLV,Launch Failure
Indian Space Research Organization,OneWeb 14,LVM-3 | OneWeb 14,10/22/2022 6:37 p.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",LVM-3 (GSLV Mk III),Launch Successful
Indian Space Research Organization,EOS-6 (Oceansat-3) & rideshare,PSLV-XL | EOS-6 (Oceansat-3) & rideshare,11/26/2022 6:26 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,EOS-7 & rideshare (SSLV Demo 2),SSLV | EOS-7 & rideshare (Demo 2),02/10/2023 3:48 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",SSLV,Launch Successful
Indian Space Research Organization,OneWeb 18,LVM-3 | OneWeb 18,03/26/2023 3:30 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",LVM-3 (GSLV Mk III),Launch Successful
Indian Space Research Organization,TeLEOS-2,PSLV-CA | TeLEOS-2,04/22/2023 8:50 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,IRNSS-1J (NVS-01),GSLV Mk II | IRNSS-1J (NVS-01),05/29/2023 5:12 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV Mk II,Launch Successful
Indian Space Research Organization,Chandrayaan-3,LVM-3 | Chandrayaan-3,07/14/2023 9:05 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",LVM-3 (GSLV Mk III),Launch Successful
Indian Space Research Organization,DS-SAR,PSLV-CA | DS-SAR,07/30/2023 1:01 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,Aditya-L1,PSLV-XL | Aditya-L1,09/02/2023 6:20 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,TV-D1,Gaganyaan Abort Test Booster | TV-D1,10/21/2023 4:30 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",Gaganyaan Abort Test Booster,Launch Successful
Indian Space Research Organization,XPoSat,PSLV-DL | XPoSat,12/28/2023 2 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-DL,To Be Confirmed
Indian Space Research Organization,INSAT-3DS,GSLV Mk II | INSAT-3DS,01/31/2024 midnight,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV Mk II,To Be Determined
Indian Space Research Organization,Gaganyaan-1,LVM-3 | Gaganyaan-1,02/29/2024 midnight,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",LVM-3 (GSLV Mk III),To Be Determined
Indian Space Research Organization,TV-D2,Gaganyaan Abort Test Booster | TV-D2,03/31/2024 midnight,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",Gaganyaan Abort Test Booster,To Be Determined
