launch_service_provider,mission,name,net,pad,rocket,status
National Aerospace Development Administration,Kwangmyongsong,Unha | Kwangmyongsong-4,02/07/2016 12:30 a.m.,"Unha Launch Pad | Sohae Satellite Launching Station, Cholsan County, North Pyongan Province, Democratic People's Republic of Korea",Unha,Launch Successful
National Aerospace Development Administration,Malligyong-1a,Chollima-1 | Malligyong-1a,05/30/2023 9:27 p.m.,"Malligyong-1 Pad | Sohae Satellite Launching Station, Cholsan County, North Pyongan Province, Democratic People's Republic of Korea",Chollima-1,Launch Failure
National Aerospace Development Administration,Malligyong-1b,Chollima-1 | Malligyong-1b,08/23/2023 6:54 p.m.,"Malligyong-1 Pad | Sohae Satellite Launching Station, Cholsan County, North Pyongan Province, Democratic People's Republic of Korea",Chollima-1,Launch Failure
National Aerospace Development Administration,Malligyong-1c,Chollima-1 | Malligyong-1c,11/21/2023 1:42 p.m.,"Malligyong-1 Pad | Sohae Satellite Launching Station, Cholsan County, North Pyongan Province, Democratic People's Republic of Korea",Chollima-1,Launch Successful
