launch_service_provider,mission,name,net,pad,rocket,status
Astra Space,Maiden Flight,Astra Rocket 3.1 | Maiden Flight,09/12/2020 3:19 a.m.,"Launch Pad 3B | Pacific Spaceport Complex, Alaska, USA",Astra Rocket 3,Launch Failure
Astra Space,Flight 2,Astra Rocket 3.2 | Flight 2,12/15/2020 8:55 p.m.,"Launch Pad 3B | Pacific Spaceport Complex, Alaska, USA",Astra Rocket 3,Launch Failure
Astra Space,STP-27AD1,Astra Rocket 3 | STP-27AD1,08/28/2021 10:35 p.m.,"Launch Pad 3B | Pacific Spaceport Complex, Alaska, USA",Astra Rocket 3,Launch Failure
Astra Space,STP-27AD2,Astra Rocket 3 | STP-27AD2,11/20/2021 6:16 a.m.,"Launch Pad 3B | Pacific Spaceport Complex, Alaska, USA",Astra Rocket 3,Launch Successful
Astra Space,ELaNa 41,Astra Rocket 3 | ELaNa 41,02/10/2022 8 p.m.,"Space Launch Complex 46 | Cape Canaveral, FL, USA",Astra Rocket 3,Launch Failure
Astra Space,Spaceflight Astra-1,Astra Rocket 3 | Spaceflight Astra-1,03/15/2022 4:22 p.m.,"Launch Pad 3B | Pacific Spaceport Complex, Alaska, USA",Astra Rocket 3,Launch Successful
Astra Space,TROPICS-1,Astra Rocket 3 | TROPICS-1,06/12/2022 5:43 p.m.,"Space Launch Complex 46 | Cape Canaveral, FL, USA",Astra Rocket 3,Launch Failure
