launch_service_provider,mission,name,net,pad,rocket,status
Rockwell International,STS-2,Space Shuttle Columbia / OV-102 | STS-2,11/12/1981 3:10 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Rockwell International,STS-3,Space Shuttle Columbia / OV-102 | STS-3,03/22/1982 4 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Rockwell International,STS-4,Space Shuttle Columbia / OV-102 | STS-4,06/27/1982 3 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Rockwell International,STS-5,Space Shuttle Columbia / OV-102 | STS-5,11/11/1982 12:19 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Rockwell International,STS-6,Space Shuttle Challenger / OV-099 | STS-6,04/04/1983 6:30 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Rockwell International,STS-7,Space Shuttle Challenger / OV-099 | STS-7,06/18/1983 11:33 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Rockwell International,STS-8,Space Shuttle Challenger / OV-099 | STS-8,08/30/1983 6:32 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Rockwell International,STS-9,Space Shuttle Columbia / OV-102 | STS-9,11/28/1983 4 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
