launch_service_provider,mission,name,net,pad,rocket,status
Russian Federal Space Agency (ROSCOSMOS),Orlets-1 5,Soyuz-U | Orlets-1 5,09/07/1993 1:25 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 14,Zenit-2 | Tselina-2 14,09/16/1993 7:36 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),US-PM 4,Tsiklon-2 | US-PM 4,09/17/1993 12:43 a.m.,"90/20 | Baikonur Cosmodrome, Republic of Kazakhstan",Tsiklon-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-20,10/11/1993 9:33 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-4KS1M 4,Soyuz U | Yantar-4KS1M 4,11/05/1993 8:25 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-18,Soyuz-U2 | Soyuz TM-18,01/08/1994 10:05 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-21,01/28/1994 2:12 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-22,03/22/1994 4:54 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 15,Zenit-2 | Tselina-2 15,04/23/1994 8:01 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-4KS1M 5,Soyuz U | Yantar-4KS1M 5,04/28/1994 5:14 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-23,05/22/1994 4:30 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-19,Soyuz-U2 | Soyuz TM-19,07/01/1994 12:24 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-1KFT 17,Soyuz U | Yantar-1KFT 17,07/29/1994 9:30 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
