launch_service_provider,mission,name,net,pad,rocket,status
China Aerospace Science and Technology Corporation,Beidou-3 M7 & M8,Long March 3B / YZ-1 | Beidou-3 M7 & M8,01/11/2018 11:18 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3B/YZ-1,Launch Successful
China Aerospace Science and Technology Corporation,—,Long March 2D | LKW-3 (Land Survey Satellite-3),01/13/2018 7:10 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2D,Launch Successful
China Aerospace Science and Technology Corporation,"Jilin-1-07 (Deqing-1), Jilin-1-08","Long March 11 | Jilin-1-07 (Deqing-1), Jilin-1-08",01/19/2018 4:12 a.m.,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China",Long March 11,Launch Successful
China Aerospace Science and Technology Corporation,3 x Yaogan-30,Long March 2C | 3 x Yaogan-30,01/25/2018 5:39 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
China Aerospace Science and Technology Corporation,Zhangheng-1 (CSES),Long March 2D | Zhangheng-1 (CSES),02/02/2018 7:51 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2D,Launch Successful
China Aerospace Science and Technology Corporation,Beidou-3 M3 & M4,Long March 3B / YZ-1 | Beidou-3 M3 & M4,02/12/2018 5:03 a.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 3B/YZ-1,Launch Successful
China Aerospace Science and Technology Corporation,Land Survey Satellite-4,Long March 2D | LKW-4 (Land Survey Satellite-4),03/17/2018 7:10 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2D,Launch Successful
China Aerospace Science and Technology Corporation,Beidou-3 M9 & M10,Long March 3B / YZ-1 | Beidou-3 M9 & M10,03/29/2018 5:56 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 3B/YZ-1,Launch Successful
China Aerospace Science and Technology Corporation,"Gaofen 1-02, 1-03 & 1-04","Long March 4C | Gaofen 1-02, 1-03 & 1-04",03/31/2018 3:22 a.m.,"Launch Complex 9 | Taiyuan Satellite Launch Center, People's Republic of China",Long March 4C,Launch Successful
China Aerospace Science and Technology Corporation,—,Long March 4C | 3 x Yaogan-31-01,04/10/2018 4:25 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Long March 4C,Launch Successful
China Aerospace Science and Technology Corporation,Zhuhai-1-02,Long March 11 | Zhuhai-1-02,04/26/2018 4:42 a.m.,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China",Long March 11,Launch Successful
China Aerospace Science and Technology Corporation,APStar-6C,Long March 3B/E | APStar-6C,05/03/2018 4:05 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
China Aerospace Science and Technology Corporation,Gaofen 5,Long March 4C | Gaofen 5,05/08/2018 6:28 p.m.,"Launch Complex 9 | Taiyuan Satellite Launch Center, People's Republic of China",Long March 4C,Launch Successful
China Aerospace Science and Technology Corporation,Queqiao (Chang'e 4 relay satellite),Long March 4C | Queqiao (Chang'e 4 relay satellite),05/20/2018 9:28 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 4C,Launch Successful
China Aerospace Science and Technology Corporation,Gaofen 6 & Luojia-1,Long March 2D | Gaofen 6 & Luojia-1,06/02/2018 4:13 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2D,Launch Successful
China Aerospace Science and Technology Corporation,Fengyun-2H,Long March 3A | Fengyun-2H,06/05/2018 1:07 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3A,Launch Successful
China Aerospace Science and Technology Corporation,XJS-A & XJS-B,Long March 2C | XJS-A & XJS-B,06/27/2018 3:30 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
China Aerospace Science and Technology Corporation,PRSS-1 & PakTes-1A,Long March 2C/SMA | PRSS-1 & PakTes-1A,07/09/2018 3:56 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
China Aerospace Science and Technology Corporation,—,Long March 3A | Beidou-2 I7,07/09/2018 8:58 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 3A,Launch Successful
