launch_service_provider,mission,name,net,pad,rocket,status
Soviet Space Program,Tselina-2 5,Zenit-2 | Tselina-2 5,05/15/1988 9:20 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Soviet Space Program,Yantar-1KFT 9,Soyuz U | Yantar-1KFT 9,05/18/1988 10:30 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Soviet Space Program,Zenit-8 63,Soyuz U | Zenit-8 63,05/19/1988 9:15 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Soviet Space Program,Uragan 26 to 28,Proton | Uragan 26 to 28,05/21/1988 5:57 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Soviet Space Program,Molniya-3 49L,Molniya-M | Molniya-3 49L,05/26/1988 3:27 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Soviet Space Program,US-P 28,Tsiklon-2 | US-P 28,05/28/1988 2:49 a.m.,"90 | Baikonur Cosmodrome, Republic of Kazakhstan",Tsiklon-2,Launch Successful
Soviet Space Program,Geo-IK 10,Tsiklon-3 | Geo-IK 10,05/30/1988 8 a.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Soviet Space Program,Resurs-F1 17F43 28L 1,Soyuz U | Resurs-F1 17F43 28L 1,05/31/1988 7:45 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Soviet Space Program,Soyuz TM-5,Soyuz-U2 | Soyuz TM-5,06/07/1988 2:03 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Soviet Space Program,Zenit-8 64,Soyuz U | Zenit-8 64,06/11/1988 10 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
