launch_service_provider,mission,name,net,pad,rocket,status
SpaceX,ViaSat-3 Americas & others,Falcon Heavy | ViaSat-3 Americas & others,05/01/2023 12:26 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Falcon Heavy,Launch Successful
SpaceX,Starlink Group 5-6,Falcon 9 Block 5 | Starlink Group 5-6,05/04/2023 7:31 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 2-9,Falcon 9 Block 5 | Starlink Group 2-9,05/10/2023 8:09 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 5-9,Falcon 9 Block 5 | Starlink Group 5-9,05/14/2023 5:03 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-3,Falcon 9 Block 5 | Starlink Group 6-3,05/19/2023 6:19 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Iridium-9 & OneWeb 19,Falcon 9 Block 5 | Iridium-9 & OneWeb 19,05/20/2023 1:16 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Axiom Space Mission 2,Falcon 9 Block 5 | Axiom Space Mission 2,05/21/2023 9:37 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Falcon 9,Launch Successful
Virgin Galactic,VSS Unity 25,SpaceShipTwo | VSS Unity 25,05/25/2023 4:23 p.m.,Spaceport America | Air launch to Suborbital flight,SpaceShipTwo,Launch Successful
SpaceX,BADR-8,Falcon 9 Block 5 | BADR-8,05/27/2023 4:30 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 2-10,Falcon 9 Block 5 | Starlink Group 2-10,05/31/2023 6:02 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-4,Falcon 9 Block 5 | Starlink Group 6-4,06/04/2023 12:20 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Dragon CRS-2 SpX-28,Falcon 9 Block 5 | Dragon CRS-2 SpX-28,06/05/2023 3:47 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 5-11,Falcon 9 Block 5 | Starlink Group 5-11,06/12/2023 7:10 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Transporter 8 (Dedicated SSO Rideshare),Falcon 9 Block 5 | Transporter 8 (Dedicated SSO Rideshare),06/12/2023 9:35 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Satria-1,Falcon 9 Block 5 | Satria-1,06/18/2023 10:21 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 5-7,Falcon 9 Block 5 | Starlink Group 5-7,06/22/2023 7:19 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
United Launch Alliance,NROL-68,Delta IV Heavy | NROL-68,06/22/2023 9:18 a.m.,"Space Launch Complex 37B | Cape Canaveral, FL, USA",Delta IV Heavy,Launch Successful
SpaceX,Starlink Group 5-12,Falcon 9 Block 5 | Starlink Group 5-12,06/23/2023 3:35 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
Virgin Galactic,Galactic 01,SpaceShipTwo | Galactic 01,06/29/2023 3:28 p.m.,Spaceport America | Air launch to Suborbital flight,SpaceShipTwo,Launch Successful
SpaceX,Euclid,Falcon 9 Block 5 | Euclid,07/01/2023 3:12 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 5-13,Falcon 9 Block 5 | Starlink Group 5-13,07/07/2023 7:29 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-5,Falcon 9 Block 5 | Starlink Group 6-5,07/10/2023 3:58 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 5-15,Falcon 9 Block 5 | Starlink Group 5-15,07/16/2023 3:50 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-15,Falcon 9 Block 5 | Starlink Group 6-15,07/20/2023 4:09 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-6,Falcon 9 Block 5 | Starlink Group 6-6,07/24/2023 12:50 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
